school,latitude,longitude,pct_over_obese
Broadalbin-Perth Central Schools,43.0582,-74.1888,34
Glens Falls City Schools,43.3104,-73.6599,34
Harpursville Central School District,42.1817,-75.6229,34
Horseheads Central School District,42.167,-76.8261,34
Elmira Heights Central School District,42.1224,-76.8244,34
Millbrook Central School,41.7829,-73.6902,34
Schalmont Cent Sch-Rotterdam,42.7878,-73.9922,34
Niagara,43.134634,-78.856419,34
Warren,43.403024,-73.716044,34
Albany,42.678066,-73.814233,34
Steuben,42.270053,-77.324618,34
Fredonia Central School District,42.4495,-79.3105,34
Brockport Central School,43.208,-77.9459,34
Haverstraw-Stoney Point Csd,41.211,-73.9932,34
Potsdam Central School,44.674,-74.9818,34
Suffolk,40.820237,-73.119032,34
Le Roy Central School,42.9777,-77.987,34
Tully Central School,42.7965,-76.1104,34
Minisink Valley Central School,41.3874,-74.5075,34
Cherry Valley Springfield Cent School,42.8144,-74.7703,34
So Glens Falls Cent Sch,43.2731,-73.6479,34
Queensbury Union Free School,43.3294,-73.6913,34
South Colonie Central School District,42.7316,-73.8394,34
Mineola Union Free School,40.7471,-73.6406,34
Oneonta City Schools,42.4539,-75.0626,34
Albany City School District,42.6535,-73.7547,33
Olean City Schools,42.0815,-78.4344,33
Pine Bush Central School,41.6013,-74.3067,33
Hornell City Schools,42.3265,-77.6545,33
Jefferson,44.019295,-75.898971,33
Cleveland Hill Union Free School,42.9417,-78.7831,33
Ticonderoga Central School,43.8417,-73.4281,33
Poland Central School,43.2279,-75.0593,33
Geneseo Central School,42.8113,-77.8056,33
Wheatland Chili Central School,43.026,-77.7496,33
Sauquoit Valley Central,42.9885,-75.2537,33
Rotterdam-Mohonasen,42.7752,-73.9531,33
Bay Shore Union Free School,40.7332,-73.2534,33
North Warren Central School,43.6639,-73.7856,33
Dutchess,41.686216,-73.840468,33
Schenectady,42.809233,-73.946838,33
Putnam Valley Central School,41.3372,-73.8602,33
Huntington Union Free School,40.8558,-73.4169,33
Genesee Valley Central School,42.2319,-77.986,33
Panama Central School District,42.0779,-79.4836,33
Syracuse City Schools,43.0444,-76.1412,33
Middleburgh Central School,42.5922,-74.3245,33
Saratoga,43.00894,-73.786779,33
Watertown City Schools,43.9569,-75.9144,33
Mechanicville City Schools,42.9015,-73.6994,33
So. Huntington School District,40.8222,-73.4132,33
Yates,42.634338,-77.078311,33
North Bellmore U F S,40.6744,-73.5323,33
Rondout Valley Central School,41.8235,-74.2416,33
Cambridge Central School,43.0211,-73.376,33
Palmyra-Macedon Central School,43.0579,-77.2447,33
Williamson Central School,43.2216,-77.1823,33
Broome,42.122015,-75.933191,33
Rockland,41.127287,-74.017033,33
Pine Plains Central School District,41.9811,-73.6631,33
Baldwin Union Free School,40.6361,-73.6054,33
Connetquot Cent Sch Of Islip,40.7602,-73.1179,33
Rensselaer,42.70098,-73.628669,33
Springville-Griff Inst Central School,42.5168,-78.6561,33
U F S Of The Tarrytowns,41.0829,-73.859,33
Keshequa Central School District,42.5794,-77.9417,33
Bayport Blue Pt U F Sch,40.7416,-73.0562,33
Yonkers City Schools,40.9354,-73.8995,33
Onondaga,43.065629,-76.168033,33
Amherst Central School,42.9565,-78.7922,33
Baldwinsville Central School,43.1625,-76.3307,33
Schoharie,42.643426,-74.434606,33
Union Springs Central School District,42.8508,-76.6912,32
Chautauqua,42.246904,-79.315313,32
Tioga,42.120252,-76.29595,32
Cheektowaga-Sloan Union Free School,42.8952,-78.7943,32
Elmont Union Free School,40.7064,-73.7106,32
Lyndonville Central School,43.3237,-78.394,32
Livingston,42.763754,-77.765392,32
Onondaga,43.065629,-76.168033,32
Greenville Central School,42.4151,-74.028,32
Fillmore Central School District,42.4662,-78.1188,19
Remsenburg Speonk U F S,40.8147,-72.6944,19
Canaseraga Central School District,42.4615,-77.773,19
Wyoming Central School,42.8213,-78.0944,19
Addison Central School,42.0865,-77.2481,18
Ardsley Union Free School,41.0221,-73.8341,18
Pelham Union Free School,40.9039,-73.8123,18
Highland Falls Central School,41.3529,-73.9758,18
Remsen Central School,43.3458,-75.1937,18
Byram Hills Central School,41.1343,-73.6865,18
Warwick Valley Central School,41.2551,-74.3858,18
Hunter Tannersvl Cent Sch,42.1957,-74.1373,18
Briarcliff Manor U F S,41.147,-73.8194,17
Tuckahoe Com Sch-Southampton,40.8976,-72.4166,17
Pt Jefferson U Free Sch,40.9443,-73.0535,17
Scarsdale Union Free School,40.9953,-73.7949,16
Schroon Lake Central School,43.8389,-73.7614,16
Pleasantville U F S,41.1338,-73.7858,15
Wheelerville Union Free School,43.2295,-74.5172,15
Mamaroneck Union Free School,40.9408,-73.7432,15
Crown Point Central School,43.951,-73.4296,15
Bradford Central School,42.3668,-77.0943,14
Hamilton,43.618468,-74.395268,13
Alfred Almond Central School District,42.2954,-77.749,12
Ripley Central School District,42.268,-79.7114,11
Quogue Union Free School,40.821,-72.6054,11
Morris Central School,42.5507,-75.2373,11
Arkport Central School,42.3945,-77.6901,11
Oppenheim Ephratah Central School,43.0603,-74.6633,10
St Johnsville Central School,42.9991,-74.6739,10
Vestal Central School District,42.0849,-76.0537,9
Bronxville Union Free School,40.9366,-73.8318,6
